[09.07.2024 21:05:43]: Program version: Alpha 0.2.3
[09.07.2024 21:05:48]: Loading...
[09.07.2024 21:05:48]: Loading mod directory: C:\Users\Aiaramit\Documents\Paradox Interactive\Hearts of Iron IV\mod\Russia\
[09.07.2024 21:05:48]: Perform action MAP_TAB_PROGRESSBAR_LOADING_REPLACE_TAGS (1/13)...
[09.07.2024 21:05:48]: Perform action MAP_TAB_PROGRESSBAR_LOADING_INFO_ARGS_BLOCKS (2/13)...
[09.07.2024 21:05:48]: Perform action MAP_TAB_PROGRESSBAR_LOADING_BOOKMARKS (3/13)...
[09.07.2024 21:05:48]: Perform action MAP_TAB_PROGRESSBAR_LOADING_TERRAINS (4/13)...
[09.07.2024 21:05:48]: Perform action MAP_TAB_PROGRESSBAR_LOADING_CONTINENTS (5/13)...
[09.07.2024 21:05:48]: Perform action MAP_TAB_PROGRESSBAR_LOADING_BUILDINGS (6/13)...
[09.07.2024 21:05:48]: Perform action MAP_TAB_PROGRESSBAR_LOADING_COUNTRIES (7/13)...
[09.07.2024 21:05:48]: Loading CountryGraphics "colors.txt"
[09.07.2024 21:05:48]: Loading CountryGraphics "cosmetic.txt"
[09.07.2024 21:05:48]: Loading CountryGraphics = Abkhazia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Afar.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Afghanistan.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Albania.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Algeria.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Altay.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Andalusia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Angola.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Argentina.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Armenia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Australia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Austria.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Azerbaijan.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Bahamas.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Bangladesh.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Bashkortostan.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Bavaria.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Belarus.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Belgium.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Belize.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Benishangul-Gumuz.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Bhutan.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Bolivia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Bosnia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Botswana.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Brazil.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = British Antilles.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = British Raj.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Brittany.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Bukharan Republic.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Bulgaria.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Burma.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Burundi.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Buryatia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Cambodia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Cameroon.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Canada.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Catalonia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Cayenne.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Central African Republic.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Chad.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Charrua.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Chechnya Ingushetia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Chile.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = China.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Chukotka.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Chuvashia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Colombia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = ComChina.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Congo.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Corsica.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Costa Rica.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Crimea.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Croatia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = CSA.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Cuba.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Curacao.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Cyprus.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = Czechoslovakia.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D01.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D02.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D03.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D04.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D05.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D06.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D07.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D08.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D09.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D10.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D11.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D12.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D13.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D14.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D15.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D16.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D17.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D18.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D19.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D20.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D21.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D22.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D23.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D24.txt
[09.07.2024 21:05:48]: Loading CountryGraphics = D25.txt
